1621142100000,48049.38000000,48286.39000000,48048.42000000,48170.01000000,378.12689500,1621142999999,18219887.29736998,14093,188.04368800,9060794.01619169,0
1621143000000,48170.01000000,48292.51000000,48094.82000000,48251.54000000,392.34078900,1621143899999,18906490.08491671,12513,174.82209100,8424595.88229564,0
1621143900000,48251.54000000,48324.78000000,48096.02000000,48165.86000000,385.68851200,1621144799999,18594567.48565585,12742,173.05581200,8342192.09963659,0
1621144800000,48165.86000000,49333.00000000,48135.39000000,49313.71000000,1422.29849400,1621145699999,69397389.77928784,30077,749.69585000,36558167.73690784,0
1621145700000,49313.71000000,49500.00000000,49116.40000000,49120.83000000,1487.11927300,1621146599999,73308624.14772393,31068,720.05694200,35501344.84477730,0
1621146600000,49122.47000000,49299.00000000,49116.50000000,49117.48000000,703.95321000,1621147499999,34631289.90410981,16410,343.20055300,16882501.79107140,0
1621147500000,49117.48000000,49228.50000000,49013.45000000,49047.97000000,579.55792600,1621148399999,28447663.43145064,16701,267.71598100,13140357.14253972,0
1621148400000,49047.97000000,49090.00000000,48875.00000000,48956.42000000,694.09396700,1621149299999,33984886.23645372,19305,285.59132600,13983194.65105114,0
1621149300000,48956.42000000,49121.95000000,48852.68000000,48908.15000000,475.18433800,1621150199999,23272168.12736657,15301,230.79916900,11303427.28119146,0
1621150200000,48908.15000000,48966.32000000,48825.31000000,48908.08000000,531.66547600,1621151099999,25989163.27461399,18493,254.36498700,12433943.83321777,0
1621151100000,48904.70000000,49400.00000000,48900.37000000,49375.28000000,985.69671200,1621151999999,48435137.53953045,23981,543.77673100,26723074.00376227,0
1621152000000,49375.28000000,49437.46000000,48800.00000000,49049.99000000,920.40077500,1621152899999,45145335.83466901,23834,359.09693000,17613045.62987200,0
1621152900000,49049.99000000,49050.00000000,48835.70000000,48865.67000000,468.54568400,1621153799999,22928163.19032448,14202,214.25514200,10484509.90720059,0
1621153800000,48865.67000000,48961.31000000,48656.00000000,48894.62000000,581.88493800,1621154699999,28405843.21883578,16569,270.53401400,13207773.21489842,0
1621154700000,48894.62000000,49042.11000000,48762.17000000,48900.02000000,577.45597200,1621155599999,28243384.67236263,16467,271.41698800,13274351.96805568,0
1621155600000,48900.02000000,49112.15000000,48896.00000000,49061.25000000,683.43988300,1621156499999,33511349.59756886,15903,287.26055300,14082432.94903320,0
1621156500000,49061.30000000,49220.00000000,49037.00000000,49118.40000000,473.42419600,1621157399999,23253694.24553344,14841,233.30651600,11459255.70015509,0
1621157400000,49120.13000000,49500.00000000,49093.90000000,49365.09000000,953.05588000,1621158299999,46996480.84207323,23066,550.46752400,27153627.08364129,0
1621158300000,49365.09000000,49500.00000000,49152.71000000,49264.69000000,870.57215000,1621159199999,42917775.11533210,21352,388.76028200,19166940.08337854,0
1621159200000,49264.68000000,49472.33000000,49221.08000000,49316.25000000,655.03616400,1621160099999,32325132.21400508,18800,318.46860900,15717067.04511916,0
1621160100000,49316.24000000,49462.26000000,49231.97000000,49444.22000000,540.01318100,1621160999999,26633073.47063258,17074,253.91397900,12524233.11937454,0
1621161000000,49444.22000000,49506.16000000,49271.02000000,49416.78000000,626.21642800,1621161899999,30912754.59389425,16696,274.38847100,13546509.40977421,0
1621161900000,49416.77000000,49795.89000000,49410.48000000,49579.70000000,1141.72736500,1621162799999,56645373.04656781,28080,467.71256200,23209156.77639749,0
1621162800000,49574.98000000,49640.28000000,49366.00000000,49378.86000000,709.90057900,1621163699999,35113489.77359486,18636,306.72221300,15172263.77331732,0
1621163700000,49380.25000000,49446.83000000,49303.09000000,49311.54000000,498.94645100,1621164599999,24636070.98776445,15181,231.99651300,11455235.83193596,0
1621164600000,49311.54000000,49365.42000000,49063.19000000,49156.41000000,611.22136500,1621165499999,30085024.74975777,17031,268.53552500,13218123.35882380,0
1621165500000,49156.41000000,49206.90000000,48912.80000000,49014.99000000,644.16557200,1621166399999,31603068.90988617,17661,278.30839500,13653928.28384519,0
1621166400000,49014.99000000,49157.89000000,49000.56000000,49017.45000000,576.28621200,1621167299999,28289772.98239040,16075,289.39358700,14206350.46001894,0
1621167300000,49017.44000000,49141.00000000,48880.70000000,49017.02000000,554.03395700,1621168199999,27155549.32323241,15940,234.10941800,11476273.83895723,0
1621168200000,49017.01000000,49066.89000000,48765.16000000,48783.90000000,840.54384900,1621169099999,41118382.25295006,19831,368.87427300,18049145.35877412,0
1621169100000,48783.90000000,48783.91000000,48550.63000000,48622.62000000,954.69115900,1621169999999,46452673.98224204,24544,431.60982900,20998878.14248807,0
1621170000000,48618.14000000,48760.85000000,48576.53000000,48606.85000000,575.85144400,1621170899999,28039338.72404856,17895,293.12434000,14272969.58539258,0
1621170900000,48606.86000000,48714.16000000,48457.06000000,48592.66000000,837.91540200,1621171799999,40715622.45519356,22425,398.48326800,19364557.67314971,0
1621171800000,48592.66000000,48893.28000000,48539.07000000,48825.03000000,891.17053300,1621172699999,43440645.68987037,21593,426.53505200,20791015.67957763,0
1621172700000,48825.04000000,48999.10000000,48813.06000000,48915.73000000,748.99176900,1621173599999,36647956.23072066,19920,376.63810800,18427465.57384354,0
1621173600000,48915.78000000,48923.72000000,48719.79000000,48839.98000000,586.03857300,1621174499999,28598866.92109034,17935,285.87051100,13950382.84834848,0
1621174500000,48844.21000000,49249.06000000,48352.07000000,48384.20000000,1259.40806500,1621175399999,61551759.37829202,29281,642.74080500,31422159.95433723,0
1621175400000,48384.20000000,48553.67000000,48036.00000000,48290.03000000,1325.43920000,1621176299999,63961051.04173362,33233,690.47570400,33322327.40661040,0
1621176300000,48290.02000000,48445.77000000,48206.39000000,48284.32000000,665.49105900,1621177199999,32175962.98637163,18180,344.10353000,16636917.63917269,0
1621177200000,48284.32000000,48331.45000000,48026.45000000,48072.98000000,826.65637900,1621178099999,39824649.65077824,19769,432.00477600,20812677.00318310,0
1621178100000,48071.97000000,48178.65000000,47801.09000000,47906.08000000,1091.03372600,1621178999999,52311452.12317356,28969,567.55342700,27211632.02061371,0
1621179000000,47906.17000000,48200.00000000,47660.09000000,47931.04000000,1228.12824600,1621179899999,58907056.13755494,27749,678.74578000,32560831.25728515,0
1621179900000,47931.03000000,48100.00000000,47566.01000000,47727.26000000,1205.28242200,1621180799999,57669616.10507966,25726,541.86119500,25938909.49644800,0
1621180800000,47727.26000000,48028.27000000,47386.83000000,48026.68000000,1741.62714700,1621181699999,83030905.83330535,40322,889.17884500,42404720.08925591,0
1621181700000,48026.67000000,48097.59000000,47612.38000000,47624.80000000,789.32699000,1621182599999,37825889.62038884,20675,393.87926900,18878276.33334848,0
1621182600000,47624.81000000,47648.49000000,47100.00000000,47128.37000000,1805.69249400,1621183499999,85463015.89868468,43889,825.34369100,39052501.68522673,0
1621183500000,47128.37000000,47468.05000000,46960.00000000,47276.26000000,1775.43008400,1621184399999,83842361.30446623,46514,877.46298000,41429364.71246702,0
1621184400000,47276.26000000,47460.00000000,46563.18000000,46663.83000000,1986.70560000,1621185299999,93386825.45361037,43693,825.56068200,38821698.11384629,0
1621185300000,46663.88000000,47300.51000000,46120.00000000,47000.02000000,3019.06523300,1621186199999,140909841.38910503,61693,1395.52938400,65232569.15766463,0
1621186200000,47000.78000000,47240.50000000,46596.78000000,47165.04000000,1770.24151500,1621187099999,83045445.28849947,31171,840.34910400,39421671.03473530,0
